1989	2	6.9	157.5	64	15
1989	3	9.1	95	57	14
1989	4	14.9	135.5	57	14
1989	5	18	189.5	70	15
1989	6	21.6	285.5	71	7
1989	7	25.2	130.5	73	7
1989	8	27.6	77.5	68	6
1989	9	24.5	331	74	7
1989	10	17.4	56	65	15
1989	11	13	61	66	15
1989	12	7.1	27	64	15
1990	1	4.2	64	64	15
1990	2	8.5	137	66	15
1990	3	9.6	114.5	58	15
1990	4	14.4	108	61	14
1990	5	18.7	156.5	62	14
1990	6	23.7	144	71	7
1990	7	26.9	209.5	73	7
1990	8	28.4	100	66	7
1990	9	24.6	516	73	15
1990	10	18.4	185.5	69	15
1990	11	14.1	150.5	68	15
1990	12	7.8	18	65	15
1991	1	4.6	44	66	14
1991	2	4.2	67.5	62	14
1991	3	9.7	182	64	14
1991	4	15.2	103	64	15
1991	5	18.6	99.5	66	7
1991	6	23.8	286.5	76	7
1991	7	26.6	256.5	75	7
1991	8	26.8	194	72	7
1991	9	24.8	348	73	0
1991	10	17.9	206.5	73	15
1991	11	12.2	132.5	66	15
1991	12	8.2	70	68	15
1992	1	6	32	64	15
1992	2	5.3	27	60	15
1992	3	10.1	146.5	63	15
1992	4	14.6	171	61	15
1992	5	17.4	149.5	65	15
1992	6	21.7	158.5	70	7
1992	7	26.6	129	69	14
1992	8	27.4	105.5	73	7
1992	9	23.8	114.5	63	15
1992	10	17.8	199.5	73	0
1992	11	12	91	68	15
1992	12	7.7	89.5	70	15
1993	1	5.9	61.5	67	15
1993	2	5.9	109.5	62	14
1993	3	8	62	54	15
1993	4	13.3	78	57	14
1993	5	18	96.5	64	7
1993	6	21.6	305.5	75	7
1993	7	23.6	301	81	7
1993	8	25.2	164	77	7
1993	9	22.2	292.5	75	15
1993	10	16.8	86	65	15
1993	11	13	114.5	71	15
1993	12	6.9	55.5	67	15
1994	1	4.7	25	59	15
1994	2	4.6	77.5	60	15
1994	3	7.4	53	54	15
1994	4	15.4	81	56	15
1994	5	19.8	88.5	61	7
1994	6	22.9	114	69	15
1994	7	28.9	70.5	67	7
1994	8	29.3	43	66	7
1994	9	24.9	376.5	70	15
1994	10	19.8	72	67	15
1994	11	13.3	34.5	63	15
1994	12	7.7	25.5	63	15
1995	1	4	53	65	15
1995	2	5.3	31	55	14
1995	3	8.9	123	62	14
